,unique-id,text,aggresssion-level,preprocess,flesch_reading_ease,flesch_kincaid_grade_level,syllables,words,characters,class
14,facebook_corpus_msr_496593,SIR YOU  CAN  MAKE IMPOSSIBLE MISSION TO POSSIBLE,NAG,sir you can make impossible mission to possible,29.52,11.13,16,8,49,2
15,facebook_corpus_msr_488495,What is ur view on the FMCG cos. Specifically HUL.,NAG,what is ur view on the fmcg cos. specifically hul.,78.25,4.83,14,10,50,2
16,facebook_corpus_msr_495869,Team of Gujjus.... Ab India ki halat sudharegi. .. Kyuki Gujju Aur marwadi hi paise ki Kimat Jante hai....desh ka bhi bhala Aur khudka bhi....,NAG,team of gujjus.... ab india ki halat sudharegi. .. kyuki gujju aur marwadi hi paise ki kimat jante hai....desh ka bhi bhala aur khudka bhi....,52.05,11.96,37,24,142,2
17,facebook_corpus_msr_467320,Whatever it be.. The way manmohan Singh spoke with dignity and respect to the chair and pm..is the way a house should run.. Not particular party..  Or emergency word like current speaker is doing... House should run with respect,NAG,whatever it be.. the way manmohan singh spoke with dignity and respect to the chair and pm..is the way a house should run.. not particular party.. or emergency word like current speaker is doing... house should run with respect,43.6,16.87,57,39,228,2
18,facebook_corpus_msr_382943,Itani garmi lag rahi thi to ye bhi nikal deti kya ho jata,NAG,itani garmi lag rahi thi to ye bhi nikal deti kya ho jata,89.52,4.0,16,13,57,2
19,facebook_corpus_msr_419939,We are proud of as such nessary step taken by newly elected CM within 2- 3 days,NAG,we are proud of as such nessary step taken by newly elected cm within 2- 3 days,80.1,6.31,22,17,79,2
20,facebook_corpus_msr_490661,Whatss with u sonia ? Hope ur keeping well . You seem to lost weight ... ohh yeah i guess market running so up,NAG,whatss with u sonia ? hope ur keeping well . you seem to lost weight ... ohh yeah i guess market running so up,72.72,8.33,28,21,110,2
21,facebook_corpus_msr_419656,Sad this brilliant man was rejected by people in elections. .... now those made fun get convinced  by him,NAG,sad this brilliant man was rejected by people in elections. .... now those made fun get convinced by him,66.37,8.47,26,18,105,2
22,facebook_corpus_msr_332395,Atul O Pathak you just compared a child's dress to lingerie.  Get a life dude!,NAG,atul o pathak you just compared a child's dress to lingerie. get a life dude!,84.45,5.21,19,15,78,2
23,facebook_corpus_msr_489120,Ha ha.. Nice try... Don't waste time you are getting late for terrorist recruitment rally..,NAG,ha ha.. nice try... don't waste time you are getting late for terrorist recruitment rally..,73.17,6.78,21,15,91,2
24,facebook_corpus_msr_443565,"Plz share view on astech life??  Bought @675,  today made 52 week high?",NAG,"plz share view on astech life?? bought , today made 52 week high?",89.52,4.0,16,13,71,2
25,facebook_corpus_msr_477597,"Those who comments against this decision, they are black money holders. IT to observe.",NAG,"those who comments against this decision, they are black money holders. it to observe.",71.77,6.73,20,14,86,2
26,facebook_corpus_msr_443505,No point in doing this fb session without Anuj. It makes sense only with Anuj+Sonia. No other combination.,NAG,no point in doing this fb session without anuj. it makes sense only with anuj+sonia. no other combination.,52.27,10.44,29,18,106,2
27,facebook_corpus_msr_330416,This bloody Islamic nations have nothing better to do than spreading tensions across the world...They just spoil peace in the name of religion...Having an Islamic country as neighbourhood is the biggest nightmare for a developing country,OAG,this bloody islamic nations have nothing better to do than spreading tensions across the world...they just spoil peace in the name of religion...having an islamic country as neighbourhood is the biggest nightmare for a developing country,34.0,17.46,58,36,237,1
28,facebook_corpus_msr_352613,ABP news is a cheap grade News channel who has some low minded idiots reporters. Why they are high lighting Kajal's beaf party news since last 2 days.They want some bastered from Gay Rakshak gang attack on Kajol? She got it in hotel and ate eat. Does she made any crime or she killed a cow? Those who are non vegitarians may have tried bear in their life time.If any hotel is serving cow meat then only punish them and enquirer about the saurce from where they got such supply.So be vegitarian and remain happy.,NAG,abp news is a cheap grade news channel who has some low minded idiots reporters. why they are high lighting kajal's beaf party news since last 2 days.they want some bastered from gay rakshak gang attack on kajol? she got it in hotel and ate eat. does she made any crime or she killed a cow? those who are non vegitarians may have tried bear in their life time.if any hotel is serving cow meat then only punish them and enquirer about the saurce from where they got such supply.so be vegitarian and remain happy.,-2.69,37.23,127,95,511,2
29,facebook_corpus_msr_332446,How could a 12 year old be seductive to someone ??,NAG,how could a 12 year old be seductive to someone ??,78.25,4.83,14,10,50,2
30,facebook_corpus_msr_367185,They are like all Hindus .. only words not any action .,NAG,they are like all hindus .. only words not any action .,69.79,6.01,15,10,55,2
31,facebook_corpus_msr_330436,"Ashish jat you said kashmir dispute is a communal conflict good nice to heard you meant if Kashmiri are being killed Raped just because they belong ​to a particular community ( Muslim) and army troops are from different community ( hindu) ? 
and second thing is that our government itself doesn't want us Muslim to be part of Army or in other government officials we also don't Love to proceed toward gulf countries apart from motherland our families to earn breads if government given us opportunities to earn breads we would have never left motherland 😢😢😢😢",NAG,ashish jat you said kashmir dispute is a communal conflict good nice to heard you meant if kashmiri are being killed raped just because they belong ​to a particular community ( muslim) and army troops are from different community ( hindu) ? and second thing is that our government itself doesn't want us muslim to be part of army or in other government officials we also don't love to proceed toward gulf countries apart from motherland our families to earn breads if government given us opportunities to earn breads we would have never left motherland 😢😢😢😢,-21.28,39.33,147,93,558,2
32,facebook_corpus_msr_470137,Do u really think India is thinking about Trump right now?,NAG,do u really think india is thinking about trump right now?,80.31,4.79,15,11,58,2
33,facebook_corpus_msr_483945,"Will give good returns as this is festive season and demand increasing accordingly in the market. 
Second, dollar is also weak as compared to rupee so :)",NAG,"will give good returns as this is festive season and demand increasing accordingly in the market. second, dollar is also weak as compared to rupee so :)",43.78,13.61,42,26,153,2
34,facebook_corpus_msr_456790,Feeling so good to see small vendors using Mobile  to accept payments. ..,NAG,feeling so good to see small vendors using mobile to accept payments. ..,53.66,8.76,20,12,73,2
35,facebook_corpus_msr_408959,sonia should be punished with slippers and shoes... Its totally nonsense and untolerable....,NAG,sonia should be punished with slippers and shoes... its totally nonsense and untolerable....,43.96,10.36,23,13,92,2
36,facebook_corpus_msr_408314,Pakistan is a terrorist country and no body would like to play with Pakistan,NAG,pakistan is a terrorist country and no body would like to play with pakistan,77.81,5.88,19,14,76,2
37,facebook_corpus_msr_440954,"Some years later a new PM will come and say.... We have been fooled and looted since 80 years, help me to build a better country..... LMFAO!",CAG,"some years later a new pm will come and say.... we have been fooled and looted since 80 years, help me to build a better country..... lmfao!",79.16,8.93,32,27,140,0
38,facebook_corpus_msr_481710,Will the jio fever protect reliance for long ? Other telecos will surely catch up soon enough ?,NAG,will the jio fever protect reliance for long ? other telecos will surely catch up soon enough ?,68.98,7.61,23,16,95,2
39,facebook_corpus_msr_335808,How come only Dakota take that water that to in only madya Pradesh,NAG,how come only dakota take that water that to in only madya pradesh,83.01,4.91,17,13,66,2
40,facebook_corpus_msr_496197,We  do  remember  RBI  Governor  Rajan's  Contribution  to  IIndian  Economy !  But  We  have  to  admit  there  are  similar  well  qualified  Economists  in  India !  When  Ala  Greenspan  retired  as  Federal  Reserve  Chairman  Peeople  thought  it  was  the  end  of  Dow  Jones  and  Wall  Street ! But  US  Economy  is  as  doing  as  well  as  it  can  considering  the  Falling  European  Union  and  also  the  UK  and  German  problems !  Why  not  make  SBI  CEO  Arubdhati  Bhattacharya  as the  RBI  Governor ? Give  her  a  Chance  and  She  will  do  a  Great  JOB  as  good  as  RAJAN !  You  do  not  have  to  be  US  qualified  for  this  JOB !!!,NAG,we do remember rbi governor rajan's contribution to iindian economy ! but we have to admit there are similar well qualified economists in india ! when ala greenspan retired as federal reserve chairman peeople thought it was the end of dow jones and wall street ! but us economy is as doing as well as it can considering the falling european union and also the uk and german problems ! why not make sbi ceo arubdhati bhattacharya as the rbi governor ? give her a chance and she will do a great job as good as rajan ! you do not have to be us qualified for this job !!!,-107.16,53.79,255,103,666,2
41,facebook_corpus_msr_326671,Build more water bodies in Maharashtra... Every village to have deep and wide water body,NAG,build more water bodies in maharashtra... every village to have deep and wide water body,61.89,8.35,23,15,88,2
42,facebook_corpus_msr_471070,Some people are sending other people with their cash to stand in the Queue for exchange of notes and paying them some amount in return.,NAG,some people are sending other people with their cash to stand in the queue for exchange of notes and paying them some amount in return.,73.17,9.26,32,25,135,2
43,facebook_corpus_msr_403764,Yes agree that we need to have a fruitful talk on creating Kurdishthan as well,NAG,yes agree that we need to have a fruitful talk on creating kurdishthan as well,84.45,5.21,19,15,78,2
44,facebook_corpus_msr_325468,India should  summon the Pakistan Ambassador immediately and its obvious that Pakistan does not want Peace in the Region!!!!,NAG,india should summon the pakistan ambassador immediately and its obvious that pakistan does not want peace in the region!!!!,40.61,12.31,33,19,124,2
45,facebook_corpus_msr_495868,"Welcome Mr.patel 
Rbi till now done great job and same expecting in future.",NAG,welcome mr.patel rbi till now done great job and same expecting in future.,63.49,7.63,20,13,75,2
46,facebook_corpus_msr_358026,Next question!  Why does the word Abd'allah contain word allah before rise of islam???,NAG,next question! why does the word abd'allah contain word allah before rise of islam???,59.68,8.41,22,14,86,2
47,facebook_corpus_msr_466407,And the literate has spoken..... such poise and well informed Man- our former PM. 👏👏👏. And kept dignity throughout. True Indian!,NAG,and the literate has spoken..... such poise and well informed man- our former pm. 👏👏👏. and kept dignity throughout. true indian!,60.63,10.02,31,21,128,2
48,facebook_corpus_msr_333788,Saala darpok. When he comes to south he comes with full security. He makes early morning visit and runs away from backdoor :D,NAG,saala darpok. when he comes to south he comes with full security. he makes early morning visit and runs away from backdoor :d,69.46,9.28,31,23,125,2
49,facebook_corpus_msr_487381,"launch date -iphone -june 2007 ...Phone 7 and 7 Plus..September 7, 2016-release date 
no pan card required ... required pan card for gold purchase above 2 lakh -what is the jewellery association doing ..are they are sleeping ...narayana narayana ...from naradha",NAG,"launch date -iphone -june 2007 ...phone 7 and 7 plus..september 7, 2016-release date no pan card required ... required pan card for gold purchase above 2 lakh -what is the jewellery association doing ..are they are sleeping ...narayana narayana ...from naradha",52.03,15.94,54,40,261,2
50,facebook_corpus_msr_328475,"What the hell is going on? Glorification of mob justice and violence by Minister is unacceptable. If someone gifted bats to beat drunk woman ,media would have gone crazy and called it sexist and patriarchy....it seems many people accept violence and sexism against men. they are very hateful and sexist people..what is hope when people in power are glorifying violence? if same minister said men can beat woman who drink, he would probably have been booked under laws by now....
gender equality does not mean hatred and biased laws against men..remove all biased laws against men and if there are laws against woman, remove them as well.....",OAG,"what the hell is going on? glorification of mob justice and violence by minister is unacceptable. if someone gifted bats to beat drunk woman ,media would have gone crazy and called it sexist and patriarchy....it seems many people accept violence and sexism against men. they are very hateful and sexist people..what is hope when people in power are glorifying violence? if same minister said men can beat woman who drink, he would probably have been booked under laws by now.... gender equality does not mean hatred and biased laws against men..remove all biased laws against men and if there are laws against woman, remove them as well.....",-28.27,43.78,160,107,641,1
51,facebook_corpus_msr_333700,"My state of Assam would've never made it to the news for any other reason but wait, this story right here has got the perfect keyword to sell the NDTV's version of the ""perfect"" news-story, that keyword being ""C O W"".  Well, two men were ""lynched"" in my neighborhood just yesterday for trying to steal a motorcycle. How come that didn't make it to your headlines, eh NDTV? ;)",NAG,"my state of assam would've never made it to the news for any other reason but wait, this story right here has got the perfect keyword to sell the ndtv's version of the ""perfect"" news-story, that keyword being ""c o w"". well, two men were ""lynched"" in my neighborhood just yesterday for trying to steal a motorcycle. how come that didn't make it to your headlines, eh ndtv? ;)",23.36,26.89,92,68,375,2
52,facebook_corpus_msr_385738,"nice together...
wish u a vry vry happy anniversory to u...",NAG,nice together... wish u a vry vry happy anniversory to u...,72.62,5.86,16,11,59,2
53,facebook_corpus_msr_467382,Thought he is dumb . But glad he speaks . But Donna.'s,NAG,thought he is dumb . but glad he speaks . but donna.'s,86.71,3.65,13,10,54,2
54,facebook_corpus_msr_491708,this rate cut may help tim to have is hair cut .....,NAG,this rate cut may help tim to have is hair cut .....,103.38,1.57,12,11,52,2
55,facebook_corpus_msr_491322,"If fed hikes rate, where will support on nifty be???",NAG,"if fed hikes rate, where will support on nifty be???",103.62,1.29,11,10,52,2
56,facebook_corpus_msr_429453,No one will buy better launch Nokia 1108 torch light phone at nominal rate with dual SIM !!,NAG,no one will buy better launch nokia 1108 torch light phone at nominal rate with dual sim !!,80.1,6.31,22,17,91,2
57,facebook_corpus_msr_402219,"ISMAIL KHAN ,FIRST  LEARN ENGLISH  U IDIOT  PAKISTANI  ,DON'T KNOW HOW TO  PUT A SENTENCE  ,BETA HAS NOT YET STARTED, ITS A PROXY WAR BY YOUR  TERROR  EXPORT ISI AND ARMY ,THE REAL BATTLE WILL START NOW ,SO BE CAREFUL  U PIGS ,ALL REVENGE WILL BE TAKEN  BY OUR ARMY AND WILL FINISH OFF PAKISTAN FROM WORLD  MAP ,ONCE FOR ALL.",NAG,"ismail khan ,first learn english u idiot pakistani ,don't know how to put a sentence ,beta has not yet started, its a proxy war by your terror export isi and army ,the real battle will start now ,so be careful u pigs ,all revenge will be taken by our army and will finish off pakistan from world map ,once for all.",22.87,25.22,88,61,325,2
58,facebook_corpus_msr_443770,"Its his view... and everyone is having right to express it... and yes, i agree...",NAG,"its his view... and everyone is having right to express it... and yes, i agree...",84.45,5.21,19,15,81,2
59,facebook_corpus_msr_383482,Pay and park at high street Phoenix mall.. Full loot,NAG,pay and park at high street phoenix mall.. full loot,112.09,0.11,10,10,52,2
60,facebook_corpus_msr_333805,"Hindu respect cow mother only?
Cow mother ignore baby & son & daughter & family
Real mother only women respect
Women mother take care about baby & son & daughter & family",NAG,hindu respect cow mother only? cow mother ignore baby & son & daughter & family real mother only women respect women mother take care about baby & son & daughter & family,7.99,18.6,53,26,170,2
61,facebook_corpus_msr_434825,"Congratulations to all. Great prizes win for all. Great to all. Great Indians,",NAG,"congratulations to all. great prizes win for all. great to all. great indians,",69.99,6.73,19,13,78,2
62,facebook_corpus_msr_440135,PM deserves one more chance...who else can we think of other than him in this present scenario... NOBODY in fact.,NAG,pm deserves one more chance...who else can we think of other than him in this present scenario... nobody in fact.,80.79,6.96,25,20,113,2
63,facebook_corpus_msr_490858,"Due to capital gains issues it is apparent that FPIs  would want to invest maximum before this financial year ends.
Even then one 5-10% correction of our markets is a possibility.In anticipation people are keeping some cash.
Is this a right strategy or we should remain fully invested?",NAG,due to capital gains issues it is apparent that fpis would want to invest maximum before this financial year ends. even then one 5-10% correction of our markets is a possibility.in anticipation people are keeping some cash. is this a right strategy or we should remain fully invested?,20.64,22.3,78,48,285,2
64,facebook_corpus_msr_331481,"This guy will say, India is important, but Pakistan is more important, because it's Islamic country... 😂",CAG,"this guy will say, india is important, but pakistan is more important, because it's islamic country... 😂",55.22,9.78,27,17,104,0
65,facebook_corpus_msr_400746,"Aqsa, drop that kashmiri from your name and call yourself Aqsa  Pakistani",NAG,"aqsa, drop that kashmiri from your name and call yourself aqsa pakistani",81.86,4.82,16,12,73,2
66,facebook_corpus_msr_467161,sun raha hai na tu... bol raha hun main... 🎼,NAG,sun raha hai na tu... bol raha hun main... 🎼,95.17,2.47,12,10,44,2
67,facebook_corpus_msr_433427,Having people like you in my life make all the difference...habaybi ento ❤❤,NAG,having people like you in my life make all the difference...habaybi ento ❤❤,63.49,7.63,20,13,75,2
68,facebook_corpus_msr_416607,"Your problem can,be solved anytime, anywhere within 24 hours by bharo sidhi pt.jk jyotishi +91-8968848458 sp.in love marriage, sotandur, dusman chutkara, gharkalesh,nokri,videsh yatra,factory, shop, losses,,helth,childless,all kind of problems",NAG,"your problem can,be solved anytime, anywhere within 24 hours by bharo sidhi pt.jk jyotishi +91-8968848458 sp.in love marriage, sotandur, dusman chutkara, gharkalesh,nokri,videsh yatra,factory, shop, losses,,helth,childless,all kind of problems",39.43,14.72,46,28,243,2
69,facebook_corpus_msr_407916,"👮 �

  😉

❤  AHAAN NAVEED PATHAAN KE FAN HO PHR TO AP KI POST  ACHI HE HO GIII   😍

 ║🌹║🔰 POWERED BY  ║
  Naveed Pathaan    ║🌹║",NAG,👮 � 😉 ❤ ahaan naveed pathaan ke fan ho phr to ap ki post achi he ho giii 😍 ║🌹║🔰 powered by ║ naveed pathaan ║🌹║,60.36,11.55,38,27,127,2
70,facebook_corpus_msr_466683,Oh now we know this guy can speak when his madam ordered in to speak.,NAG,oh now we know this guy can speak when his madam ordered in to speak.,101.37,2.85,16,15,69,2
71,facebook_corpus_msr_422539,Bharti - now consolidated so is it a good buy,NAG,bharti - now consolidated so is it a good buy,56.7,7.59,15,9,45,2
72,facebook_corpus_msr_338023,Congress is the best then any others..Jai Indian National Congress,NAG,congress is the best then any others..jai indian national congress,35.95,10.73,19,10,66,2
73,facebook_corpus_msr_467811,Don't underestimate him...guys he is one of the best econimist we have..,NAG,don't underestimate him...guys he is one of the best econimist we have..,74.81,5.81,17,12,72,2
74,facebook_corpus_msr_494437,Just of changing name no use of it.....change state in a higher graph......n off course west Bengal.....,NAG,just of changing name no use of it.....change state in a higher graph......n off course west bengal.....,90.05,4.92,20,17,104,2
75,facebook_corpus_msr_405147,Ajmal qasab next PM of India and Hafaiz Saeed next PM of India,NAG,ajmal qasab next pm of india and hafaiz saeed next pm of india,89.52,4.0,16,13,62,2
76,facebook_corpus_msr_433633,Staying on path of fiscal consolidation has got a thumbs up from the market: NK Singh,NAG,staying on path of fiscal consolidation has got a thumbs up from the market: nk singh,68.98,7.61,23,16,85,2
77,facebook_corpus_msr_443518,Any news in Tata Motors as it has recovered smartly from days lows?,NAG,any news in tata motors as it has recovered smartly from days lows?,83.01,4.91,17,13,67,2
78,facebook_corpus_msr_331717,I have seen rajamouli and his brahman uncle cleaning toilet... and a dalit is head priest in tirupati...lol mahismati. .. this flim also brahmanwadi agenda...bahubali got poonool..99.99% PRAJA are shudra. ..,NAG,i have seen rajamouli and his brahman uncle cleaning toilet... and a dalit is head priest in tirupati...lol mahismati. .. this flim also brahmanwadi agenda...bahubali got poonool..99.99% praja are shudra. ..,46.12,14.03,45,29,207,2
79,facebook_corpus_msr_402201,It's our mistake...no political stand  on these coward act.... there is anti national political parties......NGO ....Media... who enjoy everything from Indian Land but try to backstab every time...,NAG,it's our mistake...no political stand on these coward act.... there is anti national political parties......ngo ....media... who enjoy everything from indian land but try to backstab every time...,27.34,16.4,50,28,197,2
80,facebook_corpus_msr_468731,Hope it was planned well.. still black money in land and gold,OAG,hope it was planned well.. still black money in land and gold,103.01,1.87,13,12,61,1
81,facebook_corpus_msr_473416,I stood in line yesterday. Senior citizen r having separate counters in many banks.,NAG,i stood in line yesterday. senior citizen r having separate counters in many banks.,53.64,9.26,23,14,83,2
82,facebook_corpus_msr_467766,"A person who has compromised  India using His position as  RBI chief, Finance Minister, PM.",NAG,"a person who has compromised india using his position as rbi chief, finance minister, pm.",39.33,11.5,27,15,91,2
83,facebook_corpus_msr_330494,Gujarati leaders won't spk as army jawans killed and never single gujarati in army in last 70 years ? Will BJP keaders send his son to join army ?,CAG,gujarati leaders won't spk as army jawans killed and never single gujarati in army in last 70 years ? will bjp keaders send his son to join army ?,69.76,10.24,35,27,146,0
84,facebook_corpus_msr_433465,"If a Medium sized T Shirt fits someone perfectly, should u mindlessly purchase the same size? Os should u try and be rational?",NAG,"if a medium sized t shirt fits someone perfectly, should u mindlessly purchase the same size? os should u try and be rational?",65.79,9.8,32,23,126,2
85,facebook_corpus_msr_466447,"And who do you think YOU are, to decide, who's an insider and who's an outsider?
The current problem of the mammoth amounts of black money is more because of the enemy INSIDE of India than outside. So it's not that all Indians residing in India are the holy saints.
- demolishing your moronic comment from Dubai.",CAG,"and who do you think you are, to decide, who's an insider and who's an outsider? the current problem of the mammoth amounts of black money is more because of the enemy inside of india than outside. so it's not that all indians residing in india are the holy saints. - demolishing your moronic comment from dubai.",29.14,23.11,80,56,312,0
86,facebook_corpus_msr_477608,"Very very good decision. Thanks to our Prime Minister ,Modiji",NAG,"very very good decision. thanks to our prime minister ,modiji",61.33,7.19,16,10,61,2
87,facebook_corpus_msr_334823,"Our foreign policy is going very well partcularly with our neighbors
Confronting policy with China and Pakistan won't do any good",NAG,our foreign policy is going very well partcularly with our neighbors confronting policy with china and pakistan won't do any good,52.58,11.14,33,21,129,2
88,facebook_corpus_msr_400906,"You have to goes for this facts in  U N O in USA and then you can claims for Kashmir.
Understand you that your Pakistan defeated three times by our India and you divided in two parts that you remember in your mind .",NAG,you have to goes for this facts in u n o in usa and then you can claims for kashmir. understand you that your pakistan defeated three times by our india and you divided in two parts that you remember in your mind .,54.98,16.27,55,43,215,2
89,facebook_corpus_msr_466419,"People he is a well known economist who had brought good in early 90s. Please stop following PM blindly, I too support Modi but the issues he is addressing are real.",NAG,"people he is a well known economist who had brought good in early 90s. please stop following pm blindly, i too support modi but the issues he is addressing are real.",55.29,13.25,44,31,165,2
90,facebook_corpus_msr_477499,Opposition party claims these black money surgical strikes were done previously during UPA tenure : Sources Rahul,NAG,opposition party claims these black money surgical strikes were done previously during upa tenure : sources rahul,37.26,12.04,29,16,113,2
91,facebook_corpus_msr_426143,Try to apply it yourself Renu Popli Malhotra. It is a nice feeling.,NAG,try to apply it yourself renu popli malhotra. it is a nice feeling.,76.5,5.82,18,13,67,2
92,facebook_corpus_msr_330197,It shows Yogi ji how he give values to people money great sir,NAG,it shows yogi ji how he give values to people money great sir,83.01,4.91,17,13,61,2
93,facebook_corpus_msr_491260,whn will v see market reacting to Fed and boj,NAG,whn will v see market reacting to fed and boj,86.71,3.65,13,10,45,2
94,facebook_corpus_msr_437991,"Demonetization has eased  the process of bottoming out of prices in real estate sector, it acted in favor of the betterment of the sector ,which otherwise would have taken much more time to recover .Nifty realty index has taken support at 165 currently at 180. DLF also has bounced from 110,Godrejprop, HCC,Prestige,Oberoi,Zandu,Anslhsg all doing good.",NAG,"demonetization has eased the process of bottoming out of prices in real estate sector, it acted in favor of the betterment of the sector ,which otherwise would have taken much more time to recover .nifty realty index has taken support at 165 currently at 180. dlf also has bounced from 110,godrejprop, hcc,prestige,oberoi,zandu,anslhsg all doing good.",7.96,25.81,93,55,352,2
95,facebook_corpus_msr_330199,What an example !  Nation first. Proud of you Yogi ji.,NAG,what an example ! nation first. proud of you yogi ji.,61.33,7.19,16,10,54,2
96,facebook_corpus_msr_477674,Will the banks be able to manage the flood of people coming to deposit.? ..,NAG,will the banks be able to manage the flood of people coming to deposit.? ..,77.81,5.88,19,14,75,2
97,facebook_corpus_msr_328223,India have lost kashmir because of gay gangsters saffron government have managed to feild kashmir... kashmir will be free then India will come hindu nation mark my word,NAG,india have lost kashmir because of gay gangsters saffron government have managed to feild kashmir... kashmir will be free then india will come hindu nation mark my word,54.54,12.61,41,28,168,2
98,facebook_corpus_msr_328181,"We are not gonna win a war against these terrorist ..look at the basic safety SOP followed..no helmet, protective gears& only god knows about the fate of bullet proof jackets",NAG,"we are not gonna win a war against these terrorist ..look at the basic safety sop followed..no helmet, protective gears& only god knows about the fate of bullet proof jackets",60.77,12.24,41,30,174,2
99,facebook_corpus_msr_330537,Hahahaaha Aur Bhi Khoon Chaye En #Rundians Ka Bht Maza aareha ha Hum Kashmirio Ko hahahaahaa #GayHind,NAG,hahahaaha aur bhi khoon chaye en #rundians ka bht maza aareha ha hum kashmirio ko hahahaahaa #gayhind,50.24,10.48,28,17,101,2
