,unique-id,text,aggresssion-level,preprocess,flesch_reading_ease,flesch_kincaid_grade_level,syllables,words,characters,class
14,sme_15,trending india:12:10 pm ist 1. #ausvnz 2. #superbudget 3. #unionbudget2015 4. #indvsuae 5. #thedress 6. mudra bank 7. nirbhaya fund,NAG,trending india:12:10 pm ist 1. #ausvnz 2. #superbudget 3. #unionbudget2015 4. #indvsuae 5. #thedress 6. mudra bank 7. nirbhaya fund,42.72,12.27,34,20,131,2
15,sme_16,"after saw #shutDownJNU I support to impose intolerance in India, he didn't want t pray for siachen braver's. but 4 a terrorist",CAG,"after saw #shutdownjnu i support to impose intolerance in india, he didn't want t pray for siachen braver's. but 4 a terrorist",53.76,11.23,34,22,126,0
16,sme_17,#indvsuae big win by india. authority stamped. come wi come. we are champions,NAG,#indvsuae big win by india. authority stamped. come wi come. we are champions,50.47,9.45,22,13,77,2
17,sme_18,"Congrats #Arnab to call these pigs Hired Guns"" @TimesNow #FlashPointAfzal #ShutDownJNU""",OAG,"congrats #arnab to call these pigs hired guns""  #flashpointafzal #shutdownjnu""",72.62,5.86,16,11,87,1
18,sme_19,twitter trending results for hashtags http://t.co/3b2okiggdo محمد عساف-israe محمد عساف #israelissti #indvspak #pakvsind #ble,NAG,twitter trending results for hashtags  محمد عساف-israe محمد عساف #israelissti #indvspak #pakvsind #ble,29.47,12.63,27,14,124,2
19,sme_20,"If against a Muslim, it is Anti-humanity"" or ""Religious suppression"". Here it is nothing to do with religion. It is ANTI-INDIA #ShutDownJNU""",CAG,"if against a muslim, it is anti-humanity"" or ""religious suppression"". here it is nothing to do with religion. it is anti-india #shutdownjnu""",30.69,14.44,40,22,140,0
20,sme_21,rt @barun_dhoni: and ro hits 3 chawke lagataar...wohoo.:d #indvsuae,NAG,rt : and ro hits 3 chawke lagataar...wohoo.:d #indvsuae,47.3,8.9,16,9,67,2
21,sme_22,let's stand for our national anthem! rastra geet ka sanman rastra ka sanman #teamindia #indvspak #wontgiveitback #cwc2015 #cwc15,NAG,let's stand for our national anthem! rastra geet ka sanman rastra ka sanman #teamindia #indvspak #wontgiveitback #cwc2015 #cwc15,38.17,12.41,32,18,128,2
22,sme_23,Ppl who r questioning Afzal hanging be clear that after SC hearing there was plea to President as well #ShutDownJNU,CAG,ppl who r questioning afzal hanging be clear that after sc hearing there was plea to president as well #shutdownjnu,63.87,9.32,29,20,115,0
23,sme_24,"wickets are falling faster than updates, lol #indvsuae",CAG,"wickets are falling faster than updates, lol #indvsuae",50.67,8.18,14,8,54,0
24,sme_25,"ashwin grabs his first 4 wickets in odi, takes his career best. #indvsuae",NAG,"ashwin grabs his first 4 wickets in odi, takes his career best. #indvsuae",69.99,6.73,19,13,73,2
25,sme_26,#ShutDownJNU Goes Viral: People demand Govt. to Shut Down anti-national JNU http:// fb.me/4xFtdsYh9,CAG,#shutdownjnu goes viral: people demand govt. to shut down anti-national jnu http:// fb.me/4xftdsyh9,43.96,10.36,23,13,99,0
26,sme_27,#shutdownjnu All Edu Institutes should be closed until these Anti Nationalist are arrested... @smritiirani,OAG,#shutdownjnu all edu institutes should be closed until these anti nationalist are arrested... ,23.43,13.47,28,14,106,1
27,sme_28,#ShutDownJNU - the Univ shd get @Swamy39 as a VC if its to remain open,CAG,#shutdownjnu - the univ shd get  as a vc if its to remain open,83.85,5.04,18,14,70,0
28,sme_29,#ShutDownJNU . May be re burn of bhaghat Singh bcoz our nation is in difficult. So all patriotic Indian think serious and do Gud for nation,CAG,#shutdownjnu . may be re burn of bhaghat singh bcoz our nation is in difficult. so all patriotic indian think serious and do gud for nation,49.48,12.57,39,25,139,0
29,sme_30,Tragedy with anti national elements is that take the people of Indian for granted #ShutDownJNU #BoycottAAP https:// twitter.com/ranjanagra11/s tatus/697483873366585344 …,CAG,tragedy with anti national elements is that take the people of indian for granted #shutdownjnu #boycottaap https:// twitter.com/ranjanagra11/s tatus/697483873366585344 …,30.03,14.04,37,20,169,0
30,sme_31,yeh gaya boom boom afridi :p yayyyyyyyyyyyy!!!wkt #indvspak,NAG,yeh gaya boom boom afridi :p yayyyyyyyyyyyy!!!wkt #indvspak,61.24,6.71,13,8,59,2
31,sme_32,Nothing new this has been going on for several years in JNU. this is for the first time such things are coming out in public. #ShutDownJNU,CAG,nothing new this has been going on for several years in jnu. this is for the first time such things are coming out in public. #shutdownjnu,69.81,9.98,34,26,138,0
32,sme_33,best of luck pakistan for today #pakvsind jeetay ga bhai jeetay ga pakistan jeetay ga 🚩 #pakvind #indvspak #cwc15,NAG,best of luck pakistan for today #pakvsind jeetay ga bhai jeetay ga pakistan jeetay ga 🚩 #pakvind #indvspak #cwc15,62.88,9.21,28,19,113,2
33,sme_34,@aliaa08 @srbachchan india vs pakistan live streaminghd on http://t.co/hg59ivnh4g #indvspak #cwc15 #cwc2015,NAG,  india vs pakistan live streaminghd on  #indvspak #cwc15 #cwc2015,32.5,11.71,23,12,107,2
34,sme_35,#ShutDownJNU #JNURow Shout slogans that they will take bloody revenge for hanging Afzal... Write brainless articles defaming Maa Durga 2/n,OAG,#shutdownjnu #jnurow shout slogans that they will take bloody revenge for hanging afzal... write brainless articles defaming maa durga 2/n,55.41,10.5,31,20,138,1
35,sme_36,duplicate kohli.. out ho ja yar #indvspak,NAG,duplicate kohli.. out ho ja yar #indvspak,54.7,7.37,12,7,41,2
36,sme_37,#ShutDownJNU The truth of missing student of Jihadi Naxal University https:// mobile.twitter.com/Abhina_Prakash /status/788878265515511808 …,CAG,#shutdownjnu the truth of missing student of jihadi naxal university https:// mobile.twitter.com/abhina_prakash /status/788878265515511808 …,11.34,15.16,30,14,140,0
37,sme_38,The varsity JNU for long has been serving as the epicentre of anti nationalist Vendattas... About tym its whip is cracked.. #ShutDownJNU,OAG,the varsity jnu for long has been serving as the epicentre of anti nationalist vendattas... about tym its whip is cracked.. #shutdownjnu,49.91,11.76,35,22,136,1
38,sme_39,@Krishnpandey still we must accept they are Indians and its a democracy. One hv to respect opposition and criticism #ShutDownJNU,CAG, still we must accept they are indians and its a democracy. one hv to respect opposition and criticism #shutdownjnu,34.26,13.45,36,20,128,0
39,sme_40,"These traitor should be killed.they r livng on taxpayer money nd cheering 4 pak.GANDHI ,Nehru inst.has bcum shelter 4 traitors #ShutDownJNU",CAG,"these traitor should be killed.they r livng on taxpayer money nd cheering 4 pak.gandhi ,nehru inst.has bcum shelter 4 traitors #shutdownjnu",60.63,10.02,31,21,139,0
40,sme_41,uae ki first batting se ek indian player ki wc century miss ho jayegi :3 :3 #cwc15 #indvsuae,NAG,uae ki first batting se ek indian player ki wc century miss ho jayegi :3 :3 #cwc15 #indvsuae,56.97,9.79,28,18,92,2
41,sme_42,Day15: JNU Indefinite Hunger Strike Continues... #StandWithJNU @Shehla_Rashid @kanhaiyajnusu @UmarKhalidJNU @standwithjnu #JNURow,NAG,day15: jnu indefinite hunger strike continues... #standwithjnu     #jnurow,25.46,12.69,24,12,129,2
42,sme_43,umesh yadav--aaj opening krke phli fifty bnaunga #indvsuae,CAG,umesh yadav--aaj opening krke phli fifty bnaunga #indvsuae,50.67,8.18,14,8,58,0
43,sme_44,"pakistaniyo so jao, we're going to set u on fire tomorrow. kal india diwali manayegi. #indvspak",NAG,"pakistaniyo so jao, we're going to set u on fire tomorrow. kal india diwali manayegi. #indvspak",47.83,10.56,27,16,95,2
44,sme_45,@madam_robena abhi to start hi kiya kohli ny.... abhi dekhna.... dhammaaaaalllllllll #indvspak #pakvsind,NAG, abhi to start hi kiya kohli ny.... abhi dekhna.... dhammaaaaalllllllll #indvspak #pakvsind,11.42,14.9,28,13,104,2
45,sme_46,"Subsidy by Gov. per JNU student₹2,93,192 Hardship allowance per Jawan in Siachen₹21,000 Anti-Nationals r misusing money Why nt #ShutDownJNU",OAG,"subsidy by gov. per jnu student₹2,93,192 hardship allowance per jawan in siachen₹21,000 anti-nationals r misusing money why nt #shutdownjnu",45.07,11.69,32,19,139,1
46,sme_47,god saves pakisatn.. dhoni on strike:) #indvspak #cwc15,NAG,god saves pakisatn.. dhoni on strike:) #indvspak #cwc15,71.82,5.23,12,8,55,2
47,sme_48,Harayana government to give special permit of eating beef to foreigners #AAPVictoryDay #AAPVictory #ShutDownJNU pic.twitter.com/f1NJlRswF4,CAG,harayana government to give special permit of eating beef to foreigners #aapvictoryday #aapvictory #shutdownjnu pic.twitter.com/f1njlrswf4,-0.15,17.01,34,15,138,0
48,sme_49,"plz vote for the second one علي الفيصل"" #UnitedAgainstQalandars #ShutDownJNU #EscaleraAlCielo https:// twitter.com/FoxMusicME/sta tus/697224323849916420 …""",NAG,"plz vote for the second one علي الفيصل"" #unitedagainstqalandars #shutdownjnu #escaleraalcielo https:// twitter.com/foxmusicme/sta tus/697224323849916420 …""",16.77,14.65,31,15,155,2
49,sme_50,bach gaya sala. by an inch. #indvspak,NAG,bach gaya sala. by an inch. #indvspak,78.87,4.0,10,7,37,2
50,sme_51,"#ShutDownJNU ,it has never been an educational institution,must b handed over to Army to teach them proper lesson.",OAG,"#shutdownjnu ,it has never been an educational institution,must b handed over to army to teach them proper lesson.",38.17,12.41,32,18,114,1
51,sme_52,"#maukepechauka! india vs uae - india wins now turn for uae mauka mauka starsport ads. #indvssa, #indvsuae, #cwc15 http://t.co/kaimvazi2z",NAG,"#maukepechauka! india vs uae - india wins now turn for uae mauka mauka starsport ads. #indvssa, #indvsuae, #cwc15 ",28.77,13.72,34,18,136,2
52,sme_53,uae captain to #msd bhai ek bar or batting de do. #indvsuae,CAG,uae captain to #msd bhai ek bar or batting de do. #indvsuae,74.81,5.81,17,12,59,0
53,sme_54,walk-over ho gaya kya? #indvsuae,NAG,walk-over ho gaya kya? #indvsuae,66.4,5.24,8,5,32,2
54,sme_55,Please do that... Asap #ShutDownJNU,OAG,please do that... asap #shutdownjnu,66.4,5.24,8,5,35,1
55,sme_56,grrrr....india bowling first... expected to be india batting first..scoring some 350-400... #disappointed #indvsuae,NAG,grrrr....india bowling first... expected to be india batting first..scoring some 350-400... #disappointed #indvsuae,24.44,13.08,26,13,115,2
56,sme_57,This happens when freedom of speech is taken for granted. #ShutDownJNU,CAG,this happens when freedom of speech is taken for granted. #shutdownjnu,64.92,6.94,17,11,70,0
57,sme_58,"mout or katil, theme hai pakistan ka #indvsuae",CAG,"mout or katil, theme hai pakistan ka #indvsuae",71.82,5.23,12,8,46,0
58,sme_59,akmal is trolling pakistanis lol #indvspak,NAG,akmal is trolling pakistanis lol #indvspak,31.55,10.35,12,6,42,2
59,sme_60,dhoni playing stick cricket with uae..#indvsuae #cwc2015,NAG,dhoni playing stick cricket with uae..#indvsuae #cwc2015,66.79,5.68,11,7,56,2
60,sme_61,#indvspak shoib akhtar ab to commentary seekh le bc @pawanekbreathe @goswamigmaharaj,NAG,#indvspak shoib akhtar ab to commentary seekh le bc  ,57.23,8.01,18,11,84,2
61,sme_62,@maria_masood1 ohh...then plz... 14 feb ko match jarur dekhna... #indvspak #cwc15 :-p,NAG, ohh...then plz... 14 feb ko match jarur dekhna... #indvspak #cwc15 :-p,74.81,5.81,17,12,85,2
62,sme_63,Although I study in JNU bt still I wl support #ShutDownJNU becz 4 me India always comes 1st. Boot out Left morons https:// twitter.com/hstapanghosh/s tatus/697494168268976129 …,OAG,although i study in jnu bt still i wl support #shutdownjnu becz 4 me india always comes 1st. boot out left morons https:// twitter.com/hstapanghosh/s tatus/697494168268976129 …,63.31,10.89,36,26,176,1
63,sme_64,#indvsuae bhubaneswar kumar is back and,NAG,#indvsuae bhubaneswar kumar is back and,59.75,6.42,10,6,39,2
64,sme_65,#BackToJNU why the hell govt is wastimg our tax money on the shit producing terrorists #shutdownjnu,CAG,#backtojnu why the hell govt is wastimg our tax money on the shit producing terrorists #shutdownjnu,58.41,9.09,25,16,99,0
65,sme_66,"Son of a Dalit, Muslim and Terrorist we will help you but Son of a Soldier, we the students of JNU dnt care #ShutDownJNU",CAG,"son of a dalit, muslim and terrorist we will help you but son of a soldier, we the students of jnu dnt care #shutdownjnu",73.2,9.01,31,24,120,0
66,sme_67,aiyoo virat is here...but anushka sharma ilayae...#indvspak,NAG,aiyoo virat is here...but anushka sharma ilayae...#indvspak,30.53,10.74,14,7,59,2
67,sme_68,#JNUneedsStrictAction Things r totally beyond redemption in JNU. Only remedy is to #ShutdownJNU - the nursery of sedtion in Nat'l capital.,CAG,#jnuneedsstrictaction things r totally beyond redemption in jnu. only remedy is to #shutdownjnu - the nursery of sedtion in nat'l capital.,30.03,14.04,37,20,138,0
68,sme_69,rekhaji's msg to indian team #indvspak http://t.co/hslqdcst6z,NAG,rekhaji's msg to indian team #indvspak ,6.36,14.11,16,7,61,2
69,sme_70,#indvspak #bleedblue rega jha #mustwatchmsg team india #cwc2015 #kohli kohli is awesome... @newsologic #newsologic h,NAG,#indvspak #bleedblue rega jha #mustwatchmsg team india #cwc2015 #kohli kohli is awesome...  #newsologic h,28.05,13.07,29,15,116,2
70,sme_71,"hahahahah ""@im_atchu: #indvsuae #waca http://t.co/foll2m06bd oh my god",NAG,"hahahahah "": #indvsuae #waca  oh my god",8.37,14.08,18,8,70,2
71,sme_72,ahahahahahaha #pak were like passing the parcel 😂😂😂 #indvspak,NAG,ahahahahahaha #pak were like passing the parcel 😂😂😂 #indvspak,19.1,12.83,19,9,61,2
72,sme_73,A colorful solidarity for the #JNU hunger strikers on day 10 of their ongoing struggle #FightBackJNU #StandWithJNU pic.twitter.com/ZsLjew4XIL,NAG,a colorful solidarity for the #jnu hunger strikers on day 10 of their ongoing struggle #fightbackjnu #standwithjnu pic.twitter.com/zsljew4xil,19.37,15.03,36,18,141,2
73,sme_74,@VenkatN_Tss Some other Political party is involved in funding & encouraging these acts just to defame @narendramodi #ShutDownJNU,CAG, some other political party is involved in funding & encouraging these acts just to defame  #shutdownjnu,20.38,14.64,34,17,129,0
74,sme_75,WTF was #JNU Administration Doing? WTF was @DelhiPolice doing? Is burning Effigy of @PMOIndia allowed? #ShutDownJNU enough now.. @TimesNow https:// twitter.com/LegalKant/stat us/786183573099335681 …,OAG,wtf was #jnu administration doing? wtf was  doing? is burning effigy of  allowed? #shutdownjnu enough now..  https:// twitter.com/legalkant/stat us/786183573099335681 …,17.97,16.47,45,23,198,1
75,sme_76,"#ShutDownJNU Nation shd come 1st anything detrimentll 2 national interest shd b strictly dealt wd ,wdout exception. https:// twitter.com/HNMishra11/sta tus/697488780677124096 …",OAG,"#shutdownjnu nation shd come 1st anything detrimentll 2 national interest shd b strictly dealt wd ,wdout exception. https:// twitter.com/hnmishra11/sta tus/697488780677124096 …",28.41,14.51,39,21,176,1
76,sme_77,"#StandwithJNU , so that #India 's brightest of #students like Umar & Anirban remain alive to stand with you: https:// youtu.be/-f1dwnJr7mA #mustwatch",CAG,"#standwithjnu , so that #india 's brightest of #students like umar & anirban remain alive to stand with you: https:// youtu.be/-f1dwnjr7ma #mustwatch",42.72,12.27,34,20,149,0
77,sme_78,#ShutDownJNU Hell with the tolerance.Crush these antinational elements mercilessly,OAG,#shutdownjnu hell with the tolerance.crush these antinational elements mercilessly,-9.1,16.76,22,9,82,1
78,sme_79,#aus all-round performance in #worldcup2015 1-win 1-draw 1-lost cooling heals at 4th place #ouch #egohurts #indvsuae #ausvsnz,NAG,#aus all-round performance in #worldcup2015 1-win 1-draw 1-lost cooling heals at 4th place #ouch #egohurts #indvsuae #ausvsnz,60.19,9.09,26,17,125,2
79,sme_80,or hara lo uae ko.. ho gaya petrol diesel mehnga :p :v #indvsuae,CAG,or hara lo uae ko.. ho gaya petrol diesel mehnga :p :v #indvsuae,83.01,4.91,17,13,64,0
80,sme_81,"After all these days, Mr. Sanghdeesh Kumar got time to form a committee to talk to students. #StandWithJNU ... http:// fb.me/7JCf9wprX",CAG,"after all these days, mr. sanghdeesh kumar got time to form a committee to talk to students. #standwithjnu ... http:// fb.me/7jcf9wprx",59.64,9.91,30,20,134,0
81,sme_82,suna hai uae ko follow on milega... #indvsuae,NAG,suna hai uae ko follow on milega... #indvsuae,50.67,8.18,14,8,45,2
82,sme_83,#ShutDownJNU & stop wasting Govt expenses on Anti National snakes,OAG,#shutdownjnu & stop wasting govt expenses on anti national snakes,28.5,11.52,18,9,65,1
83,sme_84,Put all Afjal sympathisers including some prestitutes from Media behind bars to rot #ShutDownJNU,CAG,put all afjal sympathisers including some prestitutes from media behind bars to rot #shutdownjnu,41.55,10.94,25,14,96,0
84,sme_85,We don't need enemy like Pakistan bcoz JNU exist in India. #ShutDownJNU,CAG,we don't need enemy like pakistan bcoz jnu exist in india. #shutdownjnu,60.71,7.77,19,12,71,0
85,sme_86,Mothers' Manifesto: Mothers Stand With JNU https:// kafila.org/2016/05/09/mot hers-manifesto-mothers-stand-with-jnu/ … via @kafila #StandWithJNU,NAG,mothers' manifesto: mothers stand with jnu https:// kafila.org/2016/05/09/mot hers-manifesto-mothers-stand-with-jnu/ … via  #standwithjnu,-1.59,16.71,30,13,144,2
86,sme_87,Why isn't there anymore news on. The jnu hunger strike isn't imp to da media anymore i #StandWithJNU,CAG,why isn't there anymore news on. the jnu hunger strike isn't imp to da media anymore i #standwithjnu,71.07,7.82,25,18,100,0
87,sme_88,"These traitors of JNU are so shamelessly trying to defend their stand,I don't know whether they have any respect for d nation #ShutDownJNU",OAG,"these traitors of jnu are so shamelessly trying to defend their stand,i don't know whether they have any respect for d nation #shutdownjnu",65.79,9.8,32,23,138,1
88,sme_89,pak missed the maukaa of @imvkohli #indvspak #wc2015 #iccworldcup2015,NAG,pak missed the maukaa of  #indvspak #wc2015 #iccworldcup2015,56.7,7.59,15,9,69,2
89,sme_90,"Jawaharlal Nehru virtually left Assam (to enemy) during 1962 India-China war like todays JNU traitors want Barbadi of India. #ShutDownJNU""",CAG,"jawaharlal nehru virtually left assam (to enemy) during 1962 india-china war like todays jnu traitors want barbadi of india. #shutdownjnu""",25.8,14.63,38,20,138,0
90,sme_91,"When Anti-India incident happened I have been shouting since that day 2 #ShutDownJNU , cleanse in properly .. Enough tax payers money dumped https:// twitter.com/ChennaiCA/stat us/786445998503501824 …",CAG,"when anti-india incident happened i have been shouting since that day 2 #shutdownjnu , cleanse in properly .. enough tax payers money dumped https:// twitter.com/chennaica/stat us/786445998503501824 …",25.8,15.87,46,25,200,0
91,sme_92,#shutdownJNU IS ONLY THE OPTION LEFT WITH https:// twitter.com/Abhi_376/statu s/794458471500546048 …,CAG,#shutdownjnu is only the option left with https:// twitter.com/abhi_376/statu s/794458471500546048 …,49.54,9.08,19,11,100,0
92,sme_93,come on lndia dikha do #indvspak,NAG,come on lndia dikha do #indvspak,73.85,4.45,9,6,32,2
93,sme_94,"#ShutDownJNU its den of all anti-nationals, educated naxalites and drug addicts",OAG,"#shutdownjnu its den of all anti-nationals, educated naxalites and drug addicts",34.16,11.23,21,11,79,1
94,sme_95,langda tyagi bahubali! rt @gautamverma23: every indian right now!!!!! #indvspak http://t.co/rslwkxnsrf,OAG,langda tyagi bahubali! rt : every indian right now!!!!! #indvspak ,18.78,13.37,23,11,102,1
95,sme_96,"@swamy39 GuruJi, You were right. JNU is the place of Naxalite and Jihadi. #ShutDownJNU",OAG," guruji, you were right. jnu is the place of naxalite and jihadi. #shutdownjnu",65.73,7.57,21,14,86,1
96,sme_97,@starof_eyes : will be online tomorrow during #indvspak ! maukaa.ṁaukaa.ṁaukaa,NAG, : will be online tomorrow during #indvspak ! maukaa.ṁaukaa.ṁaukaa,8.37,14.08,18,8,78,2
97,sme_98,Shouting anti India slogans.Sympathizing a terrorist.What is happening at JNU?Clearly it is not a educational institution #ShutDownJNU,OAG,shouting anti india slogans.sympathizing a terrorist.what is happening at jnu?clearly it is not a educational institution #shutdownjnu,-14.46,19.5,41,17,134,1
98,sme_99,"Dear @narendramodi , your govt's pathetic stand on JNU is exposed. Please listen to Susheel Pandit's ordeal on @TimesNow #ShutDownJNU",OAG,"dear  , your govt's pathetic stand on jnu is exposed. please listen to susheel pandit's ordeal on  #shutdownjnu",49.52,11.07,31,19,133,1
99,sme_100,goal keeping se wicketkeeping pe ae hai! #indvspak,NAG,goal keeping se wicketkeeping pe ae hai! #indvspak,40.09,9.66,15,8,50,2
100,sme_101,#JNU is a hub of #Naxal #Terrorist with #Pak supporting the #Leftists . Time to #ShutdownJNU,OAG,#jnu is a hub of #naxal #terrorist with #pak supporting the #leftists . time to #shutdownjnu,56.25,9.14,24,15,92,1
101,sme_102,@narendramodi #ShutDownJNU we need education but not against nation,OAG, #shutdownjnu we need education but not against nation,37.9,10.21,17,9,67,1
102,sme_103,yeyyyyyyyyyyyy #indvspak sir jadeja is trending 😂😂😂😂,NAG,yeyyyyyyyyyyyy #indvspak sir jadeja is trending 😂😂😂😂,54.7,7.37,12,7,52,2
103,sme_104,"#ShutDownJNU , salvage the real scholars and #ShutItDown , Act now @PMOIndia .",OAG,"#shutdownjnu , salvage the real scholars and #shutitdown , act now  .",27.49,11.91,20,10,78,1
104,sme_105,uae tops lowest odi total against india! #indvsuae,CAG,uae tops lowest odi total against india! #indvsuae,50.67,8.18,14,8,50,0
105,sme_106,why hasn't sreesanth tried to get into the uae side? #indvsuae,NAG,why hasn't sreesanth tried to get into the uae side? #indvsuae,72.62,5.86,16,11,62,2
106,sme_107,diwali in february any-time now #indvspak #indwins #cwc15,NAG,diwali in february any-time now #indvspak #indwins #cwc15,18.94,12.61,17,8,57,2
107,sme_108,afridi..feeling sorry for u :( .....chal koi na next time :) #indvspak,CAG,afridi..feeling sorry for u :( .....chal koi na next time :) #indvspak,44.41,9.55,18,10,70,0
108,sme_109,Yes burn alive those terrorists and porkistanis #ShutDownJNU,OAG,yes burn alive those terrorists and porkistanis #shutdownjnu,50.67,8.18,14,8,60,1
109,sme_110,tmrw its mauka mauka in waca waca !!! #indvsuae,NAG,tmrw its mauka mauka in waca waca !!! #indvsuae,18.94,12.61,17,8,47,2
110,sme_111,Instead of sending terrorist from Pak side Hafiz Saeed should do campus placement in JNU he'll get educated terrorists #ShutDownJNU,OAG,instead of sending terrorist from pak side hafiz saeed should do campus placement in jnu he'll get educated terrorists #shutdownjnu,46.95,11.68,33,20,131,1
111,sme_112,"@smritiirani please accept my sincere request, to stop the fellowship of those JNU students who were praising Afzal Guru. #ShutDownJNU",CAG," please accept my sincere request, to stop the fellowship of those jnu students who were praising afzal guru. #shutdownjnu",46.95,11.68,33,20,134,0
112,sme_113,indiaaa indiaaaa indiaaa indiaaaa all the best team india.. #indwins #indvspak #cwc15,NAG,indiaaa indiaaaa indiaaa indiaaaa all the best team india.. #indwins #indvspak #cwc15,11.36,14.66,26,12,85,2
113,sme_114,#ShutDownJNU send all student who supporting afzal guru before they became terrorist,OAG,#shutdownjnu send all student who supporting afzal guru before they became terrorist,39.56,10.72,22,12,84,1
114,sme_115,@swimphony everyone should be given a chance #indvsuae,NAG, everyone should be given a chance #indvsuae,29.52,11.13,16,8,54,2
115,sme_116,#shutdownjnu All Edu Institutes should be closed until these Anti Nationalist are arrested.......,OAG,#shutdownjnu all edu institutes should be closed until these anti nationalist are arrested.......,37.46,11.26,24,13,97,1
116,sme_117,#ShutDownJNU #JNURow What do these morons of #JNU think of themselves... They praise Pakistani terroists... Shout slogans 1/n,OAG,#shutdownjnu #jnurow what do these morons of #jnu think of themselves... they praise pakistani terroists... shout slogans 1/n,71.07,7.82,25,18,125,1
117,sme_118,sea gulls trolling bhuku? #cwc15 #indvsuae,CAG,sea gulls trolling bhuku? #cwc15 #indvsuae,73.85,4.45,9,6,42,0
118,sme_119,"raina's fielding in the slips, is just a feast for the eye. #indvsuae",NAG,"raina's fielding in the slips, is just a feast for the eye. #indvsuae",83.01,4.91,17,13,69,2
119,sme_120,rt if you are laughing at pakistan... hahhahahahahahahahahahahahahahahahahahahahahahahahahaha #indvspak #pakvsind,NAG,rt if you are laughing at pakistan... hahhahahahahahahahahahahahahahahahahahahahahahahahahaha #indvspak #pakvsind,-150.17,36.69,41,10,113,2
120,sme_121,So true. #StandWithJNU https:// twitter.com/ivivek_nambiar /status/730780219410415616 …,NAG,so true. #standwithjnu https:// twitter.com/ivivek_nambiar /status/730780219410415616 …,18.44,12.43,15,7,87,2
